station_uuid,count_e5_eq_4,known_in_any_stations_csv
78dfc1c1-8e95-4ed2-bad0-14ecdb1e8163,17110,True
b9b395af-04c3-4150-a81b-f4dd215a20f0,3044,True
8e9ace8c-bd06-58a1-9ddc-e480e3b72b57,1339,True
4be6cac8-e125-41eb-ac4f-4103f8735107,466,True
df7ab2a6-e897-44d5-8609-06d35592e7d6,2,True
d9879018-c48a-415e-a944-0c67c9618b36,2,True
c1169472-dc4d-583d-81de-60440247d683,2,True
8be7e249-180e-407a-8f3b-dcfae36c139c,2,True
00099999-99e7-4444-8888-acdc00000076,1,True
d4105647-4b00-4f79-9ae8-065e4cb75218,1,True
8a2cc672-2c7f-4322-a74f-c80336e49c9e,1,True
12bc699f-3a3f-4cd8-8970-2e41e04b5688,1,True
7f13c2cd-2893-43b7-a9dc-93258ed41cf4,1,True
622ccb6f-d4b8-4ed1-bbe4-c1d8a4ad0e4f,1,True
5b948d66-fcd6-42b9-af3a-468b97ebdc1f,1,True
2f87a2cc-d093-48ef-8c2d-8d461e6221fb,1,True
e972b837-abef-4cb3-ad42-65c9ccf1f72c,1,True
